UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Marit Stiles,@maritstiles,2020-04-03T12:21:12.000Z,"Cut 
Your 
Damn 
Interest
Rates

Pass it on. 

#COVID19 #cdnpoli","Quote Tweet
The Globe and Mail
@globeandmail
 · Apr 2, 2020
Mastercard and Visa raise tap limits to $250 so fewer consumers need to touch payment machines http://dlvr.it/RT3vvH @GlobeBusiness",,8,157,397,"['https://pbs.twimg.com/profile_images/742385672682512384/VfTAuqLg_mini.jpg', 'https://pbs.twimg.com/media/EUoGgjLUMAI5XLb?format=jpg&name=small']",https://twitter.com/maritstiles/status/1246050114839478272
Alexandra Petersen,@Alexinportcredt,2020-04-03T17:57:20.000Z,"#StayHomeSaveLives #COVID19 
Who still needs to hear this???
#StayHomeSaveLives 
#StayHomeSaveLives 
#StayHomeSaveLives","Quote Tweet
Brian Platt
@btaplatt
 · Apr 3, 2020
The most important slide in the Ontario presentation: ICU capacity and projected ICU needs. So far Ontario is well within the ""best case"" scenario, but you can see that next week is when the curve really needs to start flattening.",,,,2,"['https://pbs.twimg.com/profile_images/851835682297438208/ZlIFQr1E_mini.jpg', 'https://pbs.twimg.com/media/EUsZZT2XgAU7Mvc?format=png&name=small']",https://twitter.com/Alexinportcredt/status/1246134706636312576
"Lauren Bechard, MSc",@LaurenBechard,2020-04-03T12:07:05.000Z,"Thankyou 
@IntFedAgeing
 for your townhall this AM - coming away reflecting on what's next in terms of intergenerational tension & #ageism; 

""After the #COVID19 crisis is over, there is a risk of younger generations blaming the older for economic collapse"" 
- 
@DrJohnBeard",,,,1,5,[],https://twitter.com/LaurenBechard/status/1246046563388010497
Lucia Weiler RD PHEc,@LuciaWeilerRD,2020-04-03T21:12:33.000Z,Be Well! Navigating the grocery isles efficiently during COVID19 http://dlvr.it/RT7Sh3 #dietitians #morethanfood #covid19,,,,1,3,['https://pbs.twimg.com/media/EUtVlumX0AAPkp_?format=jpg&name=small'],https://twitter.com/LuciaWeilerRD/status/1246183832140816384
Jeffrey Luscombe,@JeffreyLuscombe,2020-04-03T16:48:59.000Z,"Now show us the slide had 
@fordnation
 not told people not to worry and go enjoy spring break. 
@cbc
 #cdnpoli #onpoli #COVID19 #COVID19ontario #coronavirus",,,2,8,33,[],https://twitter.com/JeffreyLuscombe/status/1246117506231808006
Kirk LeMessurier,@kwlem,2020-04-03T18:50:42.000Z,Hospitals will do everything they can to care for Ontarians but everyone’s responsible - we all have a role in the war against #COVID19 #PhysicalDistancing,"Quote Tweet
Ont. Hospital Assoc.
@OntHospitalAssn
 · Apr 3, 2020
Today, the Ontario Hospital Association (OHA) is reminding all Ontarians that they have a responsibility to do their part to protect the health system and save lives in the fight against COVID-19.",,,2,2,"['https://pbs.twimg.com/profile_images/1071070203465744384/xhkpoZrJ_mini.jpg', 'https://pbs.twimg.com/media/EUs0ONsWAAAcIXc?format=png&name=small']",https://twitter.com/kwlem/status/1246148134406959104
Leading From the Margins,@AnnChow,2020-04-03T21:30:43.000Z,"PSA: Hey PEOPLE....S.T.O.P spitting in the streets. It was absolutely disgusting before, but it’s now a million times worse!!!! 
#COVID19 #Gross #GetAClue #PublicHygiene #StopSpitting",,🤮 😷 🤢,,1,4,[],https://twitter.com/AnnChow/status/1246188405022699521
Talya Wolff,@TalyaJW,2020-04-03T12:58:53.000Z,"Day 1/10 - #mylifeinpictures - a picture that reminds me of the people I work with every day. Thank you 
 for all you do and for your support always! I nominate @CatherineWangTO to post and nominate someone each day. As we move through #COVID19 - thx 
@SeanJMolloy",,,,2,16,['https://pbs.twimg.com/media/EUrkk6IUcAEll4t?format=jpg&name=small'],https://twitter.com/TalyaJW/status/1246059600044056576
Brett Howell,@urbanplan_b,2020-04-04T05:19:56.000Z,"Thank you 
@fordnation
 and I am willing to pay whatever it takes to ensure that Canadians have access to locally produced medical supplies now and in the future. #partnership #COVID19 
 #NeverForget","Quote Tweet
Doug Ford
@fordnation
 · Apr 3, 2020
We may be small when it comes to population but we are giants in manufacturing. We have some of the best and brightest. As long as I’m Premier, we will no longer rely on others for these essential medical goods.",,,2,1,"['https://pbs.twimg.com/profile_images/1355178357005164544/xggZzzdg_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1246187294777847809/pu/img/ywmzt_g608Dlcgn5.jpg']",https://twitter.com/urbanplan_b/status/1246306489213599744
Sylvain Roy,@DrSylvainRoy,2020-04-04T03:04:40.000Z,"[1] That’s a wrap for the week. Feeling satisfied with our work at 
@ONPsych
 over the last 2 weeks. The team is working almost around the clock. Preventing the disruptions of psychological services to 400k Ontarians this year is no simple task. Many people to thank! #COVID19",GIF,,3,15,50,['https://pbs.twimg.com/tweet_video_thumb/EUumLn4XsAAP74N.jpg'],https://twitter.com/DrSylvainRoy/status/1246272445709012992
Steve Ulrich,@SoCastSteve,2020-04-04T04:16:54.000Z,"As we continue to navigate the new normal of the remote working world, tonight we had our first ‘FSH’ - Full Staff Hangout!

CHECK OUT THE SCOOP
https://linkedin.com/posts/steveulrichcsm_radiobroadcasting-socast-socastdigital-activity-6652051816676761600-3q1Z…
#COVID19 
@SoCast
 #SoCast #Radio #Broadcasting #Pandemic #Partnership #CustomerSuccess","Steve Ulrich, CSM on LinkedIn: #RadioBroadcasting #SoCast #SoCastDigital
As we continue to navigate the new normal of the remote working world, tonight we had our first ‘FSH’ - Full Staff Hangout! I’ve posted before, that we...
linkedin.com",👉,,1,3,['https://pbs.twimg.com/card_img/1387493668798353412/AHyu-CQV?format=jpg&name=small'],https://twitter.com/SoCastSteve/status/1246290625860952065
Lego Cop in GTA,@legocopgta,2020-04-04T08:07:44.000Z,"Ready? #TorontoPolice will be out this weekend to enforce #SocialDistance and other bylaws in order to stop the spread of #COVID19. Don't understand the detail of the new rules? Long story short, Stay Home!! Again, please #StayAtHome!! 
 
#police #toronto #lego #legocop",,🏘,2,13,42,['https://pbs.twimg.com/media/EUvrjEBXkAAQFAc?format=jpg&name=small'],https://twitter.com/legocopgta/status/1246348714798657537
Brett Howell,@urbanplan_b,2020-04-04T00:00:42.000Z,"Thank you 
@GoZwift
 for making #COVID19 a little bit more bearable. I’m also super stoked about your launch of 2 daily guest worlds! #awesome #cycling #Wattbomb",,,,,5,[],https://twitter.com/urbanplan_b/status/1246226150105460738
Lee Fairclough,@LFairclo,2020-04-04T15:52:43.000Z,"Fighting #covid19 takes such varied expertise. Shout out to those doing policy prep, writing provincial guidance, coordinating supply chains, & the ON command centre. Your work matters to us in the field. So many-you know who you are! Tagging a few (1/2) 
@HeAngus
 @DrThomasStewart",,,1,6,49,[],https://twitter.com/LFairclo/status/1246465733833482242
Ann Wisdom,@anniewiz,2020-04-04T01:59:20.000Z,I lost my front tooth about a month ago. Now people are wearing  masks due to #COVID19 !!!,,,,,2,[],https://twitter.com/anniewiz/status/1246256005572329475
"AmpuTO
(He/Him)",@ampu_to,2020-04-04T19:16:42.000Z,"My runs, whether 3k, 5K, 20 minutes or an hour, is for my physical and mental health. #solorun #inpeace #SaturdayMorning #run #COVID19",,🦿 🦿,,,1,['https://pbs.twimg.com/media/EUyEqfUWAAAH_SC?format=jpg&name=small'],https://twitter.com/ampu_to/status/1246517067299401729
Irving Frydman,@IFrydman,2020-04-04T14:03:56.000Z,A deep dive into research data on the efficacy of different types of masks. Handkerchief the worst; t shirt slightly better; towel and surgical mask better; N95 mask the best. #COVID19,"Face masks for COVID-19: A deep dive into the data
With all the talk of masks, here's what the data really says.
arstechnica.com",,,1,2,['https://pbs.twimg.com/card_img/1385145065186660353/kRHiup7p?format=jpg&name=small'],https://twitter.com/IFrydman/status/1246438355648294912
Syed Ali (He/Him),@syedboumadin,2020-04-04T21:20:31.000Z,"Stay strong we’ll make it through together 
 
#weareaviation #iata #staystrong #airlines #aviation #aircanada 
 #airports #pilots #aviationindustry  #aircraftmaintenance #aircargo #avgeek  #globaltravel #amexgbt #covid19 #scs2844 
@AirCanada
 @staralliance
 @IATA","0:18
200 views",✈,,2,5,['https://pbs.twimg.com/ext_tw_video_thumb/1246548192088543232/pu/img/KkpKuv_MQsbWpcjR.jpg'],https://twitter.com/syedboumadin/status/1246548224728498177
Semhar Tekeste,@Stekeste,2020-04-05T15:24:44.000Z,"A six-year-old boy with cystic fibrosis has recovered from COVID-19. 
This exactly what I needed to read this morning.  

#COVID19 #Covid_19","Quote Tweet
CTV News
@CTVNews
 · Apr 5, 2020
A six-year-old boy living with cystic fibrosis has recovered from COVID-19 https://ctvnews.ca/health/coronavirus/six-year-old-cystic-fibrosis-warrior-recovers-from-covid-19-1.4883239…",,,3,32,['https://pbs.twimg.com/profile_images/1113055141761073153/9gjeEtmz_mini.png'],https://twitter.com/Stekeste/status/1246821076094590976
anna,@annaviv_9,2020-04-05T01:36:14.000Z,"SO CUTE! 
 Victoria RT and her daughters made the cutest figurines to brighten up our unit during this pandemic 
 Note the Heliox bag extubation! (Sinai fam, they are accepting requests lol)  
@SinaiHealth
 #respiratorytherapist #nurses #ICU #COVID19",,😷 😌 💙,2,7,29,"['https://pbs.twimg.com/media/EUzbh6HXYAAa7-Q?format=jpg&name=small', 'https://pbs.twimg.com/media/EUzbh6IXgAAdHgX?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUzbh6SWAAckxqB?format=jpg&name=360x360']",https://twitter.com/annaviv_9/status/1246612577569902592
Jeffrey Luscombe,@JeffreyLuscombe,2020-04-05T17:49:47.000Z,"So 
@PierrePoilievre
 is speaking on CBC. Of course that means I turned on the aquarium channel. #cdnpoli #onpoli #COVID19",,,10,22,124,[],https://twitter.com/JeffreyLuscombe/status/1246857579910836225
Filomena Ferraro,@FilomenaFerraro,2020-04-05T17:52:59.000Z,".
@cibc
 I am asking you to lower credit card interest rates FOR EVERYONE. This is the right thing to do in a time of #covid19 when we’re all hurting. #canlab #cdnpoli #supportworkers",,,,4,20,[],https://twitter.com/FilomenaFerraro/status/1246858387238813699
Sandra Pella,@Sandra_Pella,2020-04-05T00:54:15.000Z,BREAKING NEWS: word is these vile things are still open! The world must act as one to SHUT THEM DOWN #China #WetMarkets #AnimalAbuse #Wildlife #COVID19,"Quote Tweet
John Oberg
@JohnOberg
 · Apr 4, 2020
BREAKING NEWS: Dr. Anthony Fauci has called for all wet markets, where live animals are bought and often slaughtered on the spot, to be SHUT DOWN.

They’re often linked to zoonotic viral infections.

""I think we should shut down those things right away.” https://politico.com/news/2020/04/03/anthony-fauci-foreign-wet-markets-shutdown-162975…",,,,2,['https://pbs.twimg.com/profile_images/875471425548599296/2EJY5xMy_mini.jpg'],https://twitter.com/Sandra_Pella/status/1246602014567673856
ヤギ,@xDCAPx,2020-04-05T23:19:30.000Z,So #COVID19 really go leave me debt free huh ,,👀,,1,,[],https://twitter.com/xDCAPx/status/1246940559119470592
RHOG,@rogilyngamboa,2020-04-05T14:59:20.000Z,"Let's get this bread. 
 this too shall pass #COVID19",,🙏,1,,,['https://pbs.twimg.com/media/EU2TWOSXgAc45e1?format=jpg&name=medium'],https://twitter.com/rogilyngamboa/status/1246814685476913153
Alex Harris,@AlexHarrisRN,2020-04-05T13:35:59.000Z,"#COVID19 has made me realize a few (non-healthcare) things: 

1. #virtual communication + #telecommuting should be normalized #workplacemullet 
 

2. In-person grocery shopping is for chumps. 
  

3. I have WAY more grey hair than I thought 
What have you realized?",,🛒 💻 😣,,,6,[],https://twitter.com/AlexHarrisRN/status/1246793711113158656
Hope 4 Help,@Hope4Help,2020-04-05T00:13:16.000Z,"Because we can’t see them live.... 
 #secondcitytoronto #secondcity #covid19 
#stayhome
 #laugh #comedy #besafe #thankyou @ Toronto, Ontario https://instagram.com/p/B-lBxK5h6zR/?igshid=33bl2awqcs3z…",,😀,,,1,[],https://twitter.com/Hope4Help/status/1246591700698611712
Dixon Chan,@dixonchan,2020-04-05T12:27:05.000Z,A basic mask for those that cannot sew #COVID19,"Karen
𝐃𝐈𝐘 𝐌𝐀𝐒𝐊 
 by Julie Eigenmann Only use as a last resort when no other masks are available. It’s not an N95 (let’s leave those for the frontliners) but I...
facebook.com",😷,,,,[],https://twitter.com/dixonchan/status/1246776371780747265
Lennox Huang 黄宏加,@LennoxHuang,2020-04-06T11:56:22.000Z,My son wondered aloud whether the Tooth Fairy would visit him because of Coronavirus - I found this hastily written note under his pillow... #essentialservices #COVID19 #MondayMorning #parenting,,,8,14,233,['https://pbs.twimg.com/media/EU6zDmsXgAIUPNy?format=jpg&name=small'],https://twitter.com/LennoxHuang/status/1247131027178471424
𝚂𝚎á𝚗 𝙾’𝚂𝚑𝚎𝚊,@ConsumerSOS,2020-04-06T12:34:47.000Z,Saw this in Toronto’s Distillery district. #COVID19,,,,12,64,"['https://pbs.twimg.com/media/EU672PRXsAAVEd9?format=jpg&name=small', 'https://pbs.twimg.com/media/EU672W8X0AA8Glt?format=jpg&name=360x360']",https://twitter.com/ConsumerSOS/status/1247140696227753984
Sergio Mourato,@OMNITVSergio,2020-04-06T15:38:12.000Z,Ontario will run out of protective equipment for health care workers in a week #covid19,"Quote Tweet
CityNews Toronto
@CityNews
 · Apr 6, 2020
#BREAKING: Ontario will run out of protective equipment for health care workers in a week: Premier Ford
 https://bddy.me/34cBVwK",,,,1,['https://pbs.twimg.com/profile_images/1332376218189094915/KGFdOhcN_mini.jpg'],https://twitter.com/OMNITVSergio/status/1247186855453392896
Anjum Sultana (She/Her),@AnjumSultana,2020-04-06T03:05:05.000Z,"Why the 'invisible workers' cleaning up COVID-19 need better labour protection | CBC Radio https://cbc.ca/radio/thesundayedition/the-sunday-edition-for-april-5-2020-1.5518735/why-the-invisible-workers-cleaning-up-covid-19-need-better-labour-protection-1.5518747?__vfz=medium%3Dsharebar… 

#CdnPoli #COVID19 #CanLab #GenderEquityDuringAPandemic","Why the 'invisible workers' cleaning up COVID-19 need better labour protection | CBC Radio
Janitorial work is vital for the public's protection, and it's full of risk these days. And yet, janitorial workers have for years been among the lowest-paid in Canada. Deena Ladd is the executive...
cbc.ca",,,1,4,['https://pbs.twimg.com/card_img/1386116712366411778/usvQ9YQM?format=jpg&name=small'],https://twitter.com/AnjumSultana/status/1246997325127573506
Kevin Edward Proulx,@kevineproulx,2020-04-06T14:26:54.000Z,"Dystopian fiction by Cory Doctorow ... just the thing for, well, dystopia. #Radicalized #COVID19 
@doctorow",,,3,5,30,['https://pbs.twimg.com/media/EU7VghWXQAIJRa7?format=jpg&name=small'],https://twitter.com/kevineproulx/status/1247168910794919937
Lanrick Bennett Jr.,@LanrickBennett,2020-04-06T11:37:55.000Z,"“Along with everyone else, women, children and the vulnerable were told to #StayHomeStaySafe. What happens when home isn't a safe place?” via 
@kristynwongtam
 HT 
@RedDoorFamilySh
 @Margarets_TO
 @nelliesshelter
 @KidsHelpPhone
 @kidsmentalhlth
 Cc: 
@PaulaFletcherTO
 #COVID19","Quote Tweet
Kristyn Wong-Tam
@kristynwongtam
 · Apr 5, 2020
During times of crisis we often see escalation of violence and most prevalent is gender-based violence. In today's #COVID19 update, I speak directly to this issue and list organizations that are here to help. This is how we take care of each other. 

https://kristynwongtam.ca/april5_covid19update…",,,2,4,['https://pbs.twimg.com/profile_images/814680677/kwtsavestransitcity-1_mini.jpg'],https://twitter.com/LanrickBennett/status/1247126385744842753
christopher mitchell,@travelingmitch,2020-04-06T15:23:48.000Z,"Federal COVID-19 benefits program portal opens today: Here's how to apply 

For fellow Canadians, this will tell you all you need to know. 

#CERB #covidontario #COVID19 #CoronaVirusCanada","Federal COVID-19 benefits program portal opens today: Here's how to apply | CBC News
The federal government opens a web portal Monday where Canadians out of work due to the COVID-19 crisis can apply for emergency income support benefits.
cbc.ca",,,2,8,['https://pbs.twimg.com/card_img/1384245798901149702/_SHOfg4s?format=jpg&name=small'],https://twitter.com/travelingmitch/status/1247183231742545921
Alex Harris,@AlexHarrisRN,2020-04-06T14:41:40.000Z,"Let’s not forget that #SocialDistancing is a privilege. As is #telemedicine and #virtuallearning. We need policies to support everyone needing to access healthcare, social services and education  
@fordnation
 #COVID19","Quote Tweet
André Picard
@picardonhealth
 · Apr 6, 2020
For Many, #SocialDistancing Is a Privilege. The idea that the #cornavirus is an equal-opportunity killer must itself be killed, by @CharlesMBlow https://nyti.ms/2UInyNr via @NYTopinion @drandrewb #sdoh",,,2,14,['https://pbs.twimg.com/profile_images/1378717373633544194/Xe5-LOOY_mini.jpg'],https://twitter.com/AlexHarrisRN/status/1247172629020246020
Marit Stiles,@maritstiles,2020-04-06T19:33:10.000Z,"Our office is receiving a dramatic 
 uptick in calls from increasingly desperate constituents. 

People worried about paying bills. Worried about having to go to work when they don’t feel safe. 

We can’t afford any more half measures. 

#onpoli #UBISavesLives #COVID19",,⬆,3,19,51,[],https://twitter.com/maritstiles/status/1247245986054967296
Marlee Socket,@MarleeRSocket,2020-04-06T23:44:25.000Z,"“Empathy is our first principle,” said Andrew Macdonald, SVP of Global Rides at 
@Uber
 regarding the company’s decision making process during #COVID19. Great to hear how big companies listen to their employees & lead with empathy during such a time where change is constant #TechTO",,,1,,6,[],https://twitter.com/MarleeRSocket/status/1247309215112232969
Anjum Sultana (She/Her),@AnjumSultana,2020-04-07T03:11:48.000Z,"A New Covid-19 Crisis: Domestic Abuse Rises Worldwide https://nyti.ms/39NrcKi

#GenderEquityDuringAPandemic #CdnPoli #COVID19 #VAW","A New Covid-19 Crisis: Domestic Abuse Rises Worldwide (Published 2020)
Movement restrictions aimed to stop the spread of the coronavirus may be making violence in homes more frequent, more severe and more dangerous.
nytimes.com",,1,7,15,['https://pbs.twimg.com/card_img/1386610379334295554/ZshJ0JQy?format=jpg&name=small'],https://twitter.com/AnjumSultana/status/1247361406967730178
Marit Stiles,@maritstiles,2020-04-07T22:36:15.000Z,"For those at the back: 

DO NOT TAKE MEDICAL ADVICE FROM THE PRESIDENT

#COVID19","Quote Tweet
Daniel Dale
@ddale8
 · Apr 7, 2020
Trump again: ""You're not going to die from this pill."" That is not necessarily true for everyone; hydroxychloroquine can have serious side effects; do not take medical advice from the president.
Show this thread",,1,17,59,['https://pbs.twimg.com/profile_images/1125160854352039936/fQrin-BI_mini.jpg'],https://twitter.com/maritstiles/status/1247654447762849794
